"Carimbo de data/hora","Qual é a sua geração/faixa etária?","Qual é o seu gênero?","Qual é o seu grau de instrução?","Qual a sua faixa de renda?","Em qual Estado/Município você reside?","De que forma os programas de formação e os planos de carreira estruturados por uma empresa impactam a percepção de estabilidade e a satisfação profissional de seus colaboradores?","Você observou que o uso de plataformas digitais e o trabalho remoto aumentaram suas responsabilidades ou dificuldades? Descreva como isso influenciou sua rotina","Durante e após a pandemia, como o trabalho remoto e as adaptações digitais afetaram seu equilíbrio entre vida pessoal e profissional? ","Como o aumento da cobrança por resultados no trabalho remoto afetou sua saúde, rotina e relações com a equipe?","Como a falta de autonomia ou o excesso de controle no trabalho remoto impactam sua produtividade e saúde mental?","Como o monitoramento digital da sua empresa tem aumentado seu estresse ou afetado sua privacidade?","Como a pressão por adaptação a novas tecnologias tem afetado seu trabalho?","Como as desigualdades por gênero e/ou renda somadas a falta de garantias trabalhistas, como em alguns casos licença saúde, afetam sua saúde mental e condições de trabalho?"
"2025/07/28 5:39:29 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Graduação completa","Até 1 salário mínimo","Carapicuiba SP","Impactam de forma positiva ","Com uso dessas plataformas aumentaram as responsabilidades e influenciaram de uma maneira mais eficaz e eficiente ","Na vida profissional melhorou a praticidade e na profissional facilidade com as adaptações e práticas nas tarefas ","Afetou os estresse juntamente com a ansiedade ","Ansiedade ","Sim ","Pouco de dificuldade devido as adaptações e inovações tecnológicas ","Não "
"2025/07/28 5:59:36 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","De 1 a 2 salários mínimos","São Paulo/Carapicuíba ","Provomem o desenvolvimento continuo, o reconhecimento , o engajamento e a motivação.","Enquanto mais a empresa te facilita mais ela  te cobra.","É trabalho escravo.","Me senti sobrecarregada.","Péssimo! Sem Liberdade para nada.","1000 por cento.","Quase fiquei doente Deus me livre.","É Péssimo, somos descontado o tempo todo! Uma tremenda falta de respeito!"
"2025/07/28 7:17:56 PM GMT-3","Geração Z - De 12 a 26 anos","Masculino","Graduação incompleta","De 4 a 6 salários mínimos","Carapicuíba/ São Paulo ","Programas de formação e planos de carreira estruturados aumentam a percepção de estabilidade e satisfação profissional, pois mostram oportunidades de crescimento, valorizam o colaborador, elevam a motivação e melhoram habilidades. Isso gera confiança, engajamento e um ambiente de trabalho mais positivo e produtivo.","O trabalho remoto e o uso de plataformas digitais aumentaram responsabilidades, exigiram mais organização e dificultaram separar vida pessoal e profissional, apesar de trazerem mais autonomia e economia de tempo.","O trabalho remoto e as adaptações digitais após a pandemia trouxeram flexibilidade, mas dificultaram o equilíbrio entre vida pessoal e profissional, aumentando as responsabilidades e exigindo mais organização.","Maior cobrança no trabalho remoto aumentou estresse, prejudicou a saúde, desorganizou a rotina e dificultou a convivência com a equipe.","A falta de autonomia gera desmotivação e queda na produtividade, enquanto o excesso de controle causa ansiedade e estresse, prejudicando a saúde mental.","O monitoramento digital excessivo aumenta o estresse ao gerar sensação de invasão de privacidade e constante vigilância, afetando negativamente o bem-estar no trabalho.","A pressão constante para aprender e dominar novas tecnologias no trabalho pode gerar estresse e ansiedade, especialmente quando as mudanças são rápidas e sem o devido suporte. Isso pode dificultar a execução das tarefas, causar sensação de insegurança e diminuir a produtividade. Além disso, a adaptação contínua pode afetar o bem-estar emocional, tornando o ambiente de trabalho mais desgastante.","As desigualdades por gênero e renda, somadas à falta de garantias trabalhistas como licença saúde, aumentam o estresse e a insegurança no trabalho. Isso pode causar sobrecarga emocional, medo de perder o emprego e dificuldades para cuidar da saúde física e mental. A ausência de suporte adequado piora a qualidade de vida e dificulta o equilíbrio entre trabalho e vida pessoal."
"2025/07/28 7:43:25 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Graduação incompleta","De 1 a 2 salários mínimos","São Paulo ","Bem gratificante, formar profissionais , dando oportunidades para o crescimento do colaborador ","Sim, durante a pandemia o trabalho remoto, mudou a rotina , executando tfabalgo home office, para desempenhar a funcao .","Foi uma mudanca de hábito, porque em casa tive que separar o pessoal do profissional , ","Nao chegou afetar a saude , mais ers bem corrido ","Ficou mais preocupante, porque nas duvidas rinha que ligar pra chefia e ","Mesmo depois do horario de trabalho, sempre outros colaboradores chamando , e tinha que resolver as questoes ","Nao chegou afetar porque ja executava o servico no mesmo sistema ","Cada pessoa tem seu espaço, seu trabalho,  sua capacitacao, porem ainda no pais onde mulheres, negros, nordestinos , e pessoas de outra opcao de sexcualidade acabam sendo desvalorizados , "
"2025/07/28 8:28:13 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Pós-graduação completa","De 2 a 4 salários mínimos","Carapicuíba ","Positiva ","Aumentaram as responsabilidades , mas facilitou bem o trabalho do dia a dia.","Não foi tão tranquila por causa das dificuldades com uso da plataforma. ","Conforme as dificuldades foram aparecendo, discutimos como fazermos nossos trabalhos a ficarem cada dia melhor. ","A falta de autonomia pode gerar estresse afetar a desmotivação e frustração . "," por motivos de segurança e produtividade, pode levar à perda de confiança na relação empregador-empregado e à sensação de falta de privacidade, especialmente quando envolve o rastreamento de atividades pessoais. ","pressão por adaptação a novas tecnologias no trabalho tem sido um desafio constante, exigindo aprendizado contínuo e desenvolvimento de novas habilidades","desigualdade de gênero, especialmente quando interseccional com raça ou classe social, pode levar à sobrecarga de trabalho, discriminação salarial, falta de reconhecimento e assédio moral ou sexual no ambiente de trabalho. Isso impacta diretamente na autoestima, bem-estar emocional e saúde mental. "
"2025/07/28 9:26:36 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","De 2 a 4 salários mínimos","Osasco-SP","Depende do plano de carreira pode ser um estímulo ao desenvolvimento do trabalho , incentiva o funcionário a cooperar e zelar pela empresa. As formações contribuem na especialização do funcionário para obter maior desempenho na função que exerce.","As  plataformas digitais  e trabalho remoto     podem ser ótimas ferramentas  aliadas ao trabalho desde que bem planejadas e depende da área de trabalho. Na Pandemia houve mais dificuldades devido ser a área  da educação,  pois o público a  ser alcançado não tinha acesso a tecnologia e conforme cada pessoa aprende com diferentes métodos,  nem todos conseguiram acompanhar os estudos. ","O trabalho remoto exige um ambiente adequado para desenvolver o trabalho e nem sempre o nosso lar oferece isso, por diversos fatores:barulho, pessoas ao redor,etc.","Não  afetou minha saúde,  mas causou certo estresse e cansaço mental por exigir resultados que não  podia se obter diante das incertezas , famílias afetados pela doença (Covid-19), essas não  tinham preparação ou condição psicológica no momento para auxiliar os filhos nas tarefas.","Depende  do tipo de trabalho remoto e local. "," O que causa estresse é  a falta de boas ferramentas ou estrutura para realização das tarefas, trabalhos solicitados.  O monitoramento não  causou nenhum problema,  apenas a falata de boas ferramentas e estrutura(falta de um note, local adequado para execução da tarefa,  internet e um programa eficiente no computador).","Programas de computador  quais não  temos conhecimento ou não  permitem ser abertos em qualquer dispositivo tem afetado o trabalho. ","Não  afeta a minha saúde  mental, mas a saúde  num todo,  porque até  mesmo para um simples repouso,  o corpo pede pausa."
"2025/07/29 8:12:19 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Pós-graduação completa","De 4 a 6 salários mínimos","SP/São Paulo ","Acredito que programas de formação e desenvolvimento profissional impactam muito pois estabelecem metas e processos de feedback para o desenvolvimento contínuo do profissional. No entanto, não necessariamente contribuem para uma percepção de estabilidade. Muitas empresas tem advogado que quem tem planos de carreira são os profissionais, e não as empresas. ","Aumentou a necessidade de se manter conectado (24x7)","Pioraram o equilíbrio entre vida pessoal e profissional durante alguns anos. Ainda não foi possível de recuperar dos efeitos dessas mudanças.","Contribuiu para episódios de piora da saúde mental.","Levaram ao esgotamento profissional (Burnout)","Tem deteriorado a qualidade de vida.","Tem gerado ansiedade.","Levam a casos de depressão e adoecimento psíquico."
"2025/07/30 8:12:14 AM GMT-3","Geração Baby Boomers - Acima de 57 anos","Masculino","Pós-graduação completa","Acima de 10 salários mínimos","São Paulo","num mundo em constante mudança, só a atualização consegue fazer com quem as pessoas estejam conectadas com esta cada vez mais frequente mudança e possam ser úteis nas funções que as empresas precisam ..... mas num mundo de cada vez mais ""hard skill´s"" absolutamente necessário trabalhar os ""soft´s"", na mesma velocidade e frequência .....","sem dúvida aumentou a eficácia e objetividade, o foco, mas perde-se a riqueza do encontro, do falar livre, da intuição .....","como sou mais velho, até pelo hábito, preciso das rotinas .....a pandemia foi um ponto muito fora da curva, nada comparável a nada .....","responsabilidade, presencial ou remota dá no mesmo ..... ","não se aplica, sou o chefe ..... quem Me cobra sou Eu mesmo, kkk","sendo responsável, tanto faz ..... mas acredito que melhores controles e monitoramento, dão bons feddbacks","pouco ou nada ..... só minha dificuldade em usar as novas tecnologias ..... nasci no analógico né !","não sei dizer"
"2025/07/30 2:17:39 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Ensino médio completo","Até 1 salário mínimo","Carapicuíba/São Paulo","Não impactou ","Sem problemas ","Não impactaram ","Não impactou ","Não impactou ","Sem estresses","Tecnologia só ajuda ","Não afetou "
"2025/07/30 3:11:27 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Ensino médio completo","Prefiro não informar","São Paulo/Carapicuíba ","A valorização do funcionário alavanca o crescimento de ambos.","Atrapalha por motivo de isolamento. ","A realidade do trabalho se fundiu com a vida pessoal.","Gerou muito desconforto.","Sentimentos de incapacidade. ","Aumento de estresse e incapacidade da realização de uma bom trabalho. ","Esse tipo de pressão gera desgastes emocionalas vezes irreversíveis. ","Afeta a capacidade e a dignidade humana. "
"2025/07/30 4:46:28 PM GMT-3","Geração Z - De 12 a 26 anos","Masculino","Graduação incompleta","De 2 a 4 salários mínimos","Sp","Os programas de formação e os planos de carreira estruturados impactam positivamente a percepção de estabilidade e a satisfação profissional, pois oferecem clareza sobre o futuro, promovem desenvolvimento contínuo e aumentam o engajamento.","O uso de plataformas digitais e o trabalho remoto não aumentaram significativamente minhas responsabilidades, pois já tinha familiaridade com ferramentas como Microsoft Teams, Excel e Word desde jovem, o que facilitou uma adaptação rápida e manteve minha produtividade. As principais dificuldades ocorreram em casa, onde precisei adaptar meu espaço de trabalho para garantir foco e comunicar aos familiares sobre horários de reuniões, ajustando a rotina doméstica para conciliar com as demandas profissionais.","Durante e após a pandemia, o trabalho remoto e as adaptações digitais impactaram significativamente meu equilíbrio entre vida pessoal e profissional, já que o trabalho passou a ocupar um espaço físico e mental dentro de casa. A proximidade entre os ambientes pessoal e profissional trouxe desafios psicológicos, como a dificuldade de ""desligar"" do trabalho, mas criar um canto dedicado exclusivamente para as atividades profissionais ajudou a estabelecer limites claros, facilitando a separação entre as esferas pessoal e laboral. A familiaridade com ferramentas digitais como Teams, Excel e Word permitiu uma transição fluida para o remoto, mas o maior desafio foi gerenciar mentalmente a integração do trabalho na rotina doméstica, exigindo disciplina para manter o equilíbrio.","O aumento da cobrança por resultados no trabalho remoto impactou significativamente minha saúde física e rotina, já que a expectativa de entregar mais de 100% no ambiente online eliminou pausas reais, como a hora de almoço, que na prática não acontece. Antes, eu passava 9 horas no ambiente físico da empresa, mas agora trabalho cerca de 12 horas diárias em casa, o que, embora permita maior produtividade, gera desgaste físico e mental. As relações com a equipe também são afetadas, pois a pressão por resultados reduz interações mais colaborativas, tornando o trabalho mais solitário e focado em metas. Criar um espaço dedicado em casa ajudou a organizar a rotina, mas o desafio psicológico de equilibrar essa intensidade permanece.","A autonomia no meu trabalho remoto no Digio tem um impacto positivo na minha produtividade, pois me permite gerenciar minhas tarefas e horários com flexibilidade, o que aumenta minha motivação e eficiência.","o monitoramento digital, como o acompanhamento de atividades em plataformas de trabalho remoto, não é percebido como invasivo, mas a constante pressão por resultados eleva o estresse, especialmente porque a expectativa de estar sempre disponível online faz com que eu sinta minha privacidade reduzida. A necessidade de responder rapidamente a demandas, somada às longas jornadas de cerca de 12 horas diárias, cria uma sensação de vigilância indireta, o que impacta minha saúde mental.","A pressão por adaptação a novas tecnologias tem impactado negativamente meu trabalho, pois a sensação de acordar já desatualizado gera ansiedade e torna o processo de aprendizado constante um desafio. Sinto que isso tem afetado meu desempenho no trabalho","N/A"
"2025/07/30 5:16:20 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Ensino fundamental completo","De 2 a 4 salários mínimos","Carapicuíba ","Depende da empresa, algumas empresas dispersam interesse em seus colaboradores com incentivos, mas atualmente está difícil encontrar uma boa empresa.","As plataformas digitais, facilitou muito a vida dos empresários e para alguns colaboradores o conforto de trabalhar em casa, mas as responsábilidade dos colaboradores aumentou, gastos com internet e outras coisas mais.","No meu caso ,não me afetou não trabalho com isso sou pedreiro.","Para quem trabalha com isso , acredito que sim.","Acredito que muitas pessoas ficaram estressadas","Nda","Nenhum problema com isso.","NDA."
"2025/07/30 8:39:17 PM GMT-3","Geração X - De 41 a 56 anos","Masculino","Graduação completa","De 1 a 2 salários mínimos","Carapicuíba S.P.","Sim, impacta na motivação e desenvolvimento profissional e pessoal dos colaboradores.","Pra mim almentou dificuldade, pois nao me identifiquei com essas plataformas digitais.","Na vida profissional não mudou em nada, pois meu trabalho não tem como ser remoto.","Infelizmente a cobrança por resultado independente remoto ou pessoal leva o indivíduo ao desequilíbrio emocional em muito caso dependende de remédio antidepressivo.","Muito estressante, prejudicial a saúde mental.","A capacidade continua a mesma, mas a saúde mental fica muito debilitada.","Tem afetado de modo positivo todas as tecnologias no trabalho tem objetivo de facilitar e agilizar a execução do serviço.","Desigualdade afeta o indivíduo no seu psicológico, assim radiando para falta de comprometimento, desinteresse e motivação profissional.profissional "
